iter	Passed	Remaining
0	0	23
1	0	22
2	0	21
3	0	18
4	1	19
5	1	19
6	1	18
7	1	18
8	1	19
9	2	18
10	2	18
11	2	18
12	2	18
13	2	18
14	3	17
15	3	17
16	3	17
17	3	17
18	3	17
19	4	16
20	4	16
21	4	16
22	4	16
23	5	15
24	5	15
25	5	15
26	5	15
27	5	14
28	6	14
29	6	14
30	6	14
31	6	14
32	6	13
33	6	13
34	7	13
35	7	13
36	7	12
37	7	12
38	7	12
39	8	12
40	8	12
41	8	11
42	8	11
43	9	12
44	9	12
45	10	11
46	10	11
47	10	11
48	10	11
49	10	10
50	11	10
51	11	10
52	11	10
53	11	10
54	11	9
55	12	9
56	12	9
57	12	9
58	12	8
59	12	8
60	13	8
61	13	8
62	13	8
63	14	7
64	14	7
65	14	7
66	14	7
67	15	7
68	15	6
69	15	6
70	16	6
71	16	6
72	16	6
73	17	6
74	17	5
75	17	5
76	18	5
77	18	5
78	18	4
79	18	4
80	19	4
81	19	4
82	19	4
83	19	3
84	20	3
85	20	3
86	20	3
87	21	2
88	21	2
89	21	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	24	0
97	24	0
98	24	0
99	25	0
