iter	Passed	Remaining
0	57	57735
1	58	28998
2	58	19437
3	58	14666
4	59	11796
5	59	9875
6	59	8507
7	60	7476
8	60	6675
9	60	6035
10	61	5504
11	61	5064
12	61	4700
13	62	4384
14	62	4112
15	62	3867
16	63	3658
17	63	3466
18	63	3293
19	64	3149
20	64	3014
21	65	2891
22	65	2776
23	65	2669
24	65	2571
25	66	2480
26	66	2396
27	66	2320
28	67	2246
29	67	2178
30	67	2116
31	68	2058
32	68	2001
33	68	1950
34	68	1899
35	69	1856
36	69	1813
37	70	1772
38	70	1733
39	70	1695
40	70	1659
41	71	1625
42	71	1594
43	71	1562
44	72	1532
45	72	1502
46	72	1474
47	73	1448
48	73	1421
49	73	1396
50	73	1374
51	74	1352
52	74	1331
53	74	1311
54	75	1292
55	75	1272
56	75	1253
57	76	1235
58	76	1217
59	76	1202
60	77	1185
61	77	1169
62	77	1152
63	77	1137
64	78	1124
65	78	1111
66	78	1097
67	79	1083
68	79	1070
69	79	1059
70	80	1047
71	80	1036
72	80	1025
73	81	1014
74	81	1002
75	81	991
76	81	981
77	82	971
78	82	961
79	82	952
80	83	943
81	83	934
82	83	924
83	83	915
84	84	907
85	84	899
86	84	890
87	85	882
88	85	875
89	85	867
90	86	859
91	86	852
92	86	845
93	87	838
94	87	832
95	87	825
96	87	819
97	88	812
98	88	806
99	89	801
100	89	794
101	89	788
102	89	781
103	90	775
104	90	769
105	90	763
106	90	757
107	91	752
108	91	746
109	91	741
110	91	736
111	92	731
112	92	725
113	92	720
114	93	715
115	93	711
116	93	706
117	93	701
118	94	697
119	94	692
120	94	688
121	94	683
122	95	679
123	95	675
124	95	670
125	96	666
126	96	662
127	96	657
128	96	654
129	97	650
130	97	646
131	97	643
132	98	639
133	98	636
134	98	632
135	98	628
136	99	625
137	99	621
138	99	618
139	99	614
140	100	610
141	100	607
142	100	604
143	101	601
144	101	598
145	101	594
146	101	591
147	102	588
148	102	585
149	102	583
150	103	580
151	103	578
152	103	575
153	104	572
154	104	569
155	104	567
156	105	565
157	105	563
158	105	560
159	106	557
160	106	555
161	106	552
162	107	550
163	107	548
164	107	545
165	108	543
166	108	541
167	108	538
168	109	536
169	109	534
170	109	531
171	110	530
172	110	527
173	110	525
174	111	523
175	111	521
176	111	519
177	111	517
178	112	515
179	112	513
180	113	511
181	113	509
182	113	508
183	114	506
184	114	504
185	114	502
186	115	500
187	115	498
188	115	496
189	115	494
190	116	491
191	116	489
192	116	488
193	117	486
194	117	484
195	117	482
196	117	480
197	118	479
198	118	477
199	118	475
200	119	473
201	119	472
202	119	470
203	120	468
204	120	466
205	120	465
206	121	463
207	121	462
208	121	460
209	122	459
210	122	457
211	122	456
212	123	454
213	123	453
214	123	451
215	123	449
216	124	448
217	124	446
218	124	445
219	125	443
220	125	442
221	125	441
222	126	439
223	126	438
224	126	436
225	127	435
226	127	434
227	127	432
228	128	431
229	128	430
230	128	428
231	129	427
232	129	426
233	129	424
234	129	423
235	130	421
236	130	420
237	130	419
238	131	417
239	131	416
240	131	414
241	131	413
242	132	412
243	132	410
244	132	409
245	133	408
246	133	406
247	133	405
248	134	404
249	134	403
250	134	402
251	135	401
252	135	400
253	135	399
254	136	398
255	136	396
256	136	395
257	137	394
258	137	393
259	137	391
260	137	390
261	138	389
262	138	388
263	138	387
264	139	385
265	139	384
266	139	383
267	139	382
268	140	380
269	140	379
270	140	378
271	141	377
272	141	376
273	141	375
274	142	374
275	142	373
276	142	372
277	142	371
278	143	370
279	143	368
280	143	367
281	144	366
282	144	365
283	144	365
284	145	364
285	145	362
286	145	361
287	145	360
288	146	359
289	146	358
290	146	357
291	147	356
292	147	355
293	147	354
294	147	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	149	346
302	150	345
303	150	344
304	150	343
305	151	342
306	151	342
307	151	341
308	152	340
309	152	339
310	152	338
311	153	337
312	153	336
313	153	335
314	153	334
315	154	333
316	154	333
317	155	332
318	155	331
319	155	330
320	155	329
321	156	328
322	156	327
323	156	327
324	157	326
325	157	325
326	157	324
327	158	324
328	158	323
329	158	322
330	159	321
331	159	321
332	159	320
333	160	319
334	160	318
335	160	317
336	160	316
337	161	315
338	161	315
339	161	314
340	162	313
341	162	312
342	162	311
343	163	311
344	163	310
345	163	309
346	164	308
347	164	308
348	164	307
349	165	306
350	165	305
351	165	305
352	166	304
353	166	303
354	166	302
355	166	302
356	167	301
357	167	300
358	167	299
359	168	298
360	168	298
361	168	297
362	169	296
363	169	296
364	169	295
365	170	294
366	170	294
367	170	293
368	171	292
369	171	292
370	171	291
371	172	290
372	172	289
373	172	288
374	172	288
375	173	287
376	173	286
377	173	285
378	173	285
379	174	284
380	174	283
381	174	282
382	175	282
383	175	281
384	175	280
385	175	279
386	176	279
387	176	278
388	176	277
389	177	277
390	177	276
391	177	275
392	178	275
393	178	274
394	178	273
395	178	272
396	179	272
397	179	271
398	179	271
399	180	270
400	180	269
401	180	268
402	180	268
403	181	267
404	181	266
405	181	265
406	181	264
407	182	264
408	182	263
409	182	262
410	182	262
411	183	261
412	183	260
413	183	259
414	183	259
415	184	258
416	184	257
417	184	256
418	184	256
419	184	255
420	185	254
421	185	253
422	185	253
423	185	252
424	186	251
425	186	251
426	186	250
427	187	249
428	187	249
429	187	248
430	187	248
431	188	247
432	188	247
433	189	246
434	189	246
435	189	245
436	190	244
437	190	244
438	190	243
439	190	242
440	190	242
441	191	241
442	191	240
443	191	240
444	192	239
445	192	239
446	192	238
447	192	237
448	193	236
449	193	236
450	193	235
451	193	234
452	193	234
453	194	233
454	194	232
455	194	232
456	194	231
457	195	230
458	195	230
459	195	229
460	196	229
461	196	228
462	196	227
463	196	227
464	197	226
465	197	226
466	197	225
467	197	224
468	198	224
469	198	223
470	198	223
471	198	222
472	199	221
473	199	221
474	199	220
475	199	219
476	200	219
477	200	218
478	200	218
479	200	217
480	201	216
481	201	216
482	201	215
483	201	215
484	202	214
485	202	214
486	202	213
487	203	213
488	203	212
489	203	211
490	203	211
491	204	210
492	204	210
493	204	209
494	204	208
495	205	208
496	205	207
497	205	207
498	205	206
499	206	206
500	206	205
501	206	204
502	206	204
503	207	204
504	208	203
505	208	203
506	208	202
507	208	202
508	209	201
509	209	201
510	209	200
511	209	200
512	210	199
513	210	198
514	210	198
515	210	197
516	211	197
517	211	196
518	211	196
519	211	195
520	212	195
521	212	194
522	212	194
523	212	193
524	213	192
525	213	192
526	213	191
527	214	191
528	214	190
529	214	190
530	214	189
531	215	189
532	215	188
533	215	188
534	215	187
535	216	187
536	216	186
537	216	185
538	216	185
539	217	184
540	217	184
541	217	183
542	217	183
543	218	182
544	218	182
545	218	181
546	218	181
547	219	180
548	219	180
549	219	179
550	220	179
551	220	178
552	220	178
553	220	177
554	221	177
555	221	176
556	221	176
557	222	175
558	222	175
559	222	174
560	223	174
561	223	174
562	223	173
563	223	173
564	224	172
565	224	172
566	224	171
567	224	171
568	225	170
569	225	170
570	225	169
571	225	169
572	226	168
573	226	168
574	226	167
575	226	167
576	227	166
577	227	166
578	227	165
579	228	165
580	228	164
581	228	164
582	228	163
583	229	163
584	229	162
585	229	162
586	229	161
587	230	161
588	230	160
589	230	160
590	230	159
591	231	159
592	231	158
593	231	158
594	231	157
595	232	157
596	232	156
597	232	156
598	232	155
599	233	155
600	233	154
601	233	154
602	233	153
603	234	153
604	234	152
605	234	152
606	234	152
607	235	151
608	235	151
609	235	150
610	235	150
611	236	149
612	236	149
613	236	148
614	236	148
615	237	147
616	237	147
617	237	146
618	237	146
619	238	145
620	238	145
621	238	144
622	238	144
623	239	144
624	239	143
625	239	143
626	239	142
627	240	142
628	240	141
629	240	141
630	240	140
631	241	140
632	241	139
633	241	139
634	241	139
635	242	138
636	242	138
637	242	137
638	242	137
639	243	136
640	243	136
641	243	135
642	243	135
643	244	134
644	244	134
645	244	134
646	244	133
647	245	133
648	245	132
649	245	132
650	246	131
651	246	131
652	246	131
653	246	130
654	246	130
655	247	129
656	247	129
657	247	128
658	248	128
659	248	127
660	248	127
661	249	127
662	249	126
663	249	126
664	249	125
665	250	125
666	250	124
667	250	124
668	251	124
669	251	123
670	251	123
671	251	122
672	252	122
673	252	122
674	252	121
675	253	121
676	253	120
677	253	120
678	254	120
679	254	119
680	254	119
681	254	118
682	255	118
683	255	118
684	255	117
685	256	117
686	256	116
687	256	116
688	257	116
689	257	115
690	257	115
691	258	114
692	258	114
693	258	114
694	258	113
695	259	113
696	259	112
697	260	112
698	260	112
699	260	111
700	260	111
701	261	110
702	261	110
703	261	110
704	262	109
705	262	109
706	262	108
707	263	108
708	263	108
709	263	107
710	264	107
711	264	106
712	264	106
713	264	106
714	265	105
715	265	105
716	265	104
717	266	104
718	266	104
719	266	103
720	267	103
721	267	102
722	267	102
723	268	102
724	268	101
725	268	101
726	268	100
727	269	100
728	269	100
729	269	99
730	270	99
731	270	99
732	270	98
733	271	98
734	271	97
735	271	97
736	272	97
737	272	96
738	272	96
739	272	95
740	273	95
741	273	95
742	273	94
743	274	94
744	274	93
745	274	93
746	275	93
747	275	92
748	275	92
749	276	92
750	276	91
751	277	91
752	277	90
753	277	90
754	277	90
755	278	89
756	278	89
757	278	89
758	279	88
759	280	88
760	280	88
761	280	87
762	281	87
763	281	86
764	281	86
765	282	86
766	282	85
767	282	85
768	282	84
769	283	84
770	283	84
771	284	83
772	284	83
773	284	83
774	284	82
775	285	82
776	285	81
777	285	81
778	286	81
779	286	80
780	287	80
781	287	80
782	287	79
783	287	79
784	288	78
785	288	78
786	288	78
787	289	77
788	289	77
789	289	77
790	289	76
791	290	76
792	290	75
793	290	75
794	291	75
795	291	74
796	291	74
797	292	73
798	292	73
799	292	73
800	293	72
801	293	72
802	293	72
803	294	71
804	294	71
805	294	70
806	294	70
807	295	70
808	295	69
809	295	69
810	295	68
811	296	68
812	296	68
813	296	67
814	296	67
815	297	67
816	297	66
817	297	66
818	298	65
819	298	65
820	298	65
821	299	64
822	299	64
823	299	63
824	299	63
825	300	63
826	300	62
827	300	62
828	301	62
829	301	61
830	301	61
831	302	61
832	302	60
833	302	60
834	303	59
835	303	59
836	303	59
837	304	58
838	304	58
839	304	58
840	305	57
841	305	57
842	305	56
843	305	56
844	306	56
845	306	55
846	306	55
847	306	55
